temp,prec,wind,demand,j
10.8,41.36,4.46,144,9
11.1,4.38,3.45,98,7
11.1,4.38,3.45,101,3
11.1,4.38,3.45,105,4
11.1,4.38,3.45,121,10
11.1,4.38,3.45,125,2
11.1,4.38,3.45,139,6
11.1,4.38,3.45,140,1
11.1,4.38,3.45,154,5
11.1,4.38,3.45,172,8
11.1,4.38,3.45,180,9
11.1,17.57,4.78,85,7
11.1,17.57,4.78,88,3
11.1,17.57,4.78,95,4
11.1,17.57,4.78,104,2
11.1,17.57,4.78,108,10
11.1,17.57,4.78,122,1
11.1,17.57,4.78,127,6
11.1,17.57,4.78,130,5
11.1,17.57,4.78,149,8
11.1,17.57,4.78,163,9
11.2,27.35,3.18,89,7
11.2,27.35,3.18,97,3
11.2,27.35,3.18,97,4
11.2,27.35,3.18,105,2
11.2,27.35,3.18,107,10
11.2,27.35,3.18,122,6
11.2,27.35,3.18,126,1
11.2,27.35,3.18,135,5
11.2,27.35,3.18,156,8
11.2,27.35,3.18,162,9
11.4,17.4,3.28,85,7
11.4,17.4,3.28,99,4
11.4,17.4,3.28,102,3
11.4,17.4,3.28,109,10
11.4,17.4,3.28,119,2
11.4,17.4,3.28,131,1
11.4,17.4,3.28,132,6
11.4,17.4,3.28,145,5
11.4,17.4,3.28,163,8
11.4,17.4,3.28,176,9
11.6,56.31,2.42,74,7
11.6,56.31,2.42,82,4
11.6,56.31,2.42,83,3
11.6,56.31,2.42,93,2
11.6,56.31,2.42,97,10
11.6,56.31,2.42,106,6
11.6,56.31,2.42,109,1
11.6,56.31,2.42,117,5
11.6,56.31,2.42,126,8
11.6,56.31,2.42,144,9
12.1,11.99,4.13,88,7
12.1,11.99,4.13,97,4
12.1,11.99,4.13,102,3
12.1,11.99,4.13,111,10
12.1,11.99,4.13,115,2
12.1,11.99,4.13,130,6
12.1,11.99,4.13,135,1
12.1,11.99,4.13,146,5
12.1,11.99,4.13,159,8
12.1,11.99,4.13,175,9
12.4,32.36,2.56,90,7
12.4,32.36,2.56,92,3
12.4,32.36,2.56,100,4
12.4,32.36,2.56,106,10
12.4,32.36,2.56,114,2
12.4,32.36,2.56,129,6
12.4,32.36,2.56,132,1
12.4,32.36,2.56,134,5
12.4,32.36,2.56,149,8
12.4,32.36,2.56,158,9
12.4,49.3,2,81,7
12.4,49.3,2,85,3
12.4,49.3,2,86,4
12.4,49.3,2,94,10
12.4,49.3,2,105,2
12.4,49.3,2,118,1
12.4,49.3,2,120,6
12.4,49.3,2,126,5
12.4,49.3,2,144,8
12.4,49.3,2,151,9
12.4,57.31,4.81,63,7
12.4,57.31,4.81,68,3
12.4,57.31,4.81,73,4
12.4,57.31,4.81,81,2
12.4,57.31,4.81,83,10
12.4,57.31,4.81,92,6
12.4,57.31,4.81,97,1
12.4,57.31,4.81,106,5
12.4,57.31,4.81,113,8
12.4,57.31,4.81,127,9
12.8,19.49,1.62,99,7
12.8,19.49,1.62,104,3
12.8,19.49,1.62,104,4
12.8,19.49,1.62,117,10
12.8,19.49,1.62,128,2
12.8,19.49,1.62,143,6
12.8,19.49,1.62,146,1
12.8,19.49,1.62,151,5
12.8,19.49,1.62,175,8
12.8,19.49,1.62,185,9
12.9,19.89,0.31,106,7
12.9,19.89,0.31,115,4
12.9,19.89,0.31,116,3
12.9,19.89,0.31,131,2
12.9,19.89,0.31,132,10
12.9,19.89,0.31,154,6
12.9,19.89,0.31,155,1
12.9,19.89,0.31,165,5
12.9,19.89,0.31,180,8
12.9,19.89,0.31,196,9
12.9,37.11,3.67,76,7
12.9,37.11,3.67,87,3
12.9,37.11,3.67,89,4
12.9,37.11,3.67,100,2
12.9,37.11,3.67,101,10
12.9,37.11,3.67,117,6
12.9,37.11,3.67,120,1
12.9,37.11,3.67,128,5
12.9,37.11,3.67,146,8
12.9,37.11,3.67,147,9
13.1,8.62,4.15,91,7
13.1,8.62,4.15,103,3
13.1,8.62,4.15,107,4
13.1,8.62,4.15,116,2
13.1,8.62,4.15,119,10
13.1,8.62,4.15,133,6
13.1,8.62,4.15,142,1
13.1,8.62,4.15,147,5
13.1,8.62,4.15,167,8
13.1,8.62,4.15,174,9
13.2,2.66,2.34,105,7
13.2,2.66,2.34,111,3
13.2,2.66,2.34,114,4
13.2,2.66,2.34,125,10
13.2,2.66,2.34,134,2
13.2,2.66,2.34,152,6
13.2,2.66,2.34,161,1
13.2,2.66,2.34,162,5
13.2,2.66,2.34,182,8
13.2,2.66,2.34,197,9
13.2,51.47,0.36,86,7
13.2,51.47,0.36,88,3
13.2,51.47,0.36,98,4
13.2,51.47,0.36,100,10
13.2,51.47,0.36,103,2
13.2,51.47,0.36,124,6
13.2,51.47,0.36,126,1
13.2,51.47,0.36,130,5
13.2,51.47,0.36,155,8
13.2,51.47,0.36,155,9
13.2,54.88,4.25,70,7
13.2,54.88,4.25,78,4
13.2,54.88,4.25,79,3
13.2,54.88,4.25,91,10
13.2,54.88,4.25,92,2
13.2,54.88,4.25,100,6
13.2,54.88,4.25,108,1
13.2,54.88,4.25,108,5
13.2,54.88,4.25,126,8
13.2,54.88,4.25,135,9
13.3,31.99,3.16,83,7
13.3,31.99,3.16,94,4
13.3,31.99,3.16,95,3
13.3,31.99,3.16,101,10
13.3,31.99,3.16,107,2
13.3,31.99,3.16,123,6
13.3,31.99,3.16,132,1
13.3,31.99,3.16,137,5
13.3,31.99,3.16,155,8
13.3,31.99,3.16,160,9
13.3,33.58,4.26,81,7
13.3,33.58,4.26,85,3
13.3,33.58,4.26,94,4
13.3,33.58,4.26,96,10
13.3,33.58,4.26,100,2
13.3,33.58,4.26,119,1
13.3,33.58,4.26,119,6
13.3,33.58,4.26,127,5
13.3,33.58,4.26,146,8
13.3,33.58,4.26,151,9
13.4,29.7,0.49,95,7
13.4,29.7,0.49,109,3
13.4,29.7,0.49,109,4
13.4,29.7,0.49,123,10
13.4,29.7,0.49,125,2
13.4,29.7,0.49,144,6
13.4,29.7,0.49,145,1
13.4,29.7,0.49,151,5
13.4,29.7,0.49,176,8
13.4,29.7,0.49,179,9
13.9,10.85,1.54,104,7
13.9,10.85,1.54,113,4
13.9,10.85,1.54,114,3
13.9,10.85,1.54,130,10
13.9,10.85,1.54,132,2
13.9,10.85,1.54,153,1
13.9,10.85,1.54,154,6
13.9,10.85,1.54,159,5
13.9,10.85,1.54,186,8
13.9,10.85,1.54,198,9
13.9,12.89,3.74,88,7
13.9,12.89,3.74,97,3
13.9,12.89,3.74,105,4
13.9,12.89,3.74,113,10
13.9,12.89,3.74,114,2
13.9,12.89,3.74,137,6
13.9,12.89,3.74,139,1
13.9,12.89,3.74,140,5
13.9,12.89,3.74,159,8
13.9,12.89,3.74,176,9
13.9,52.5,2.68,73,7
13.9,52.5,2.68,82,3
13.9,52.5,2.68,86,4
13.9,52.5,2.68,93,10
13.9,52.5,2.68,96,2
13.9,52.5,2.68,116,6
13.9,52.5,2.68,120,1
13.9,52.5,2.68,124,5
13.9,52.5,2.68,139,9
13.9,52.5,2.68,140,8
14,15.27,3.13,89,7
14,15.27,3.13,102,3
14,15.27,3.13,111,4
14,15.27,3.13,115,10
14,15.27,3.13,123,2
14,15.27,3.13,138,6
14,15.27,3.13,144,1
14,15.27,3.13,150,5
14,15.27,3.13,165,8
14,15.27,3.13,181,9
14,21.2,2.04,91,7
14,21.2,2.04,99,3
14,21.2,2.04,105,4
14,21.2,2.04,122,2
14,21.2,2.04,123,10
14,21.2,2.04,141,6
14,21.2,2.04,148,1
14,21.2,2.04,150,5
14,21.2,2.04,173,8
14,21.2,2.04,183,9
14.1,9.47,2.41,98,7
14.1,9.47,2.41,112,3
14.1,9.47,2.41,115,4
14.1,9.47,2.41,121,10
14.1,9.47,2.41,127,2
14.1,9.47,2.41,147,6
14.1,9.47,2.41,150,1
14.1,9.47,2.41,152,5
14.1,9.47,2.41,173,8
14.1,9.47,2.41,188,9
14.1,27.18,1.38,95,7
14.1,27.18,1.38,98,3
14.1,27.18,1.38,107,4
14.1,27.18,1.38,117,10
14.1,27.18,1.38,118,2
14.1,27.18,1.38,138,6
14.1,27.18,1.38,141,1
14.1,27.18,1.38,153,5
14.1,27.18,1.38,172,8
14.1,27.18,1.38,180,9
14.6,57.44,3.4,67,7
14.6,57.44,3.4,82,3
14.6,57.44,3.4,86,2
14.6,57.44,3.4,86,4
14.6,57.44,3.4,94,10
14.6,57.44,3.4,108,6
14.6,57.44,3.4,112,1
14.6,57.44,3.4,116,5
14.6,57.44,3.4,128,8
14.6,57.44,3.4,133,9
14.7,9.29,1.11,108,7
14.7,9.29,1.11,113,3
14.7,9.29,1.11,122,4
14.7,9.29,1.11,131,10
14.7,9.29,1.11,139,2
14.7,9.29,1.11,159,6
14.7,9.29,1.11,162,1
14.7,9.29,1.11,166,5
14.7,9.29,1.11,187,8
14.7,9.29,1.11,202,9
14.7,11.92,2.54,99,7
14.7,11.92,2.54,108,3
14.7,11.92,2.54,108,4
14.7,11.92,2.54,119,10
14.7,11.92,2.54,130,2
14.7,11.92,2.54,142,6
14.7,11.92,2.54,147,1
14.7,11.92,2.54,153,5
14.7,11.92,2.54,171,8
14.7,11.92,2.54,182,9
14.7,15.32,4.21,94,7
14.7,15.32,4.21,98,3
14.7,15.32,4.21,100,4
14.7,15.32,4.21,108,10
14.7,15.32,4.21,111,2
14.7,15.32,4.21,134,1
14.7,15.32,4.21,134,6
14.7,15.32,4.21,136,5
14.7,15.32,4.21,160,8
14.7,15.32,4.21,172,9
14.9,37.21,1.7,88,7
14.9,37.21,1.7,95,3
14.9,37.21,1.7,103,4
14.9,37.21,1.7,106,10
14.9,37.21,1.7,114,2
14.9,37.21,1.7,129,1
14.9,37.21,1.7,135,6
14.9,37.21,1.7,144,5
14.9,37.21,1.7,159,8
14.9,37.21,1.7,170,9
15.1,1.02,1.43,110,7
15.1,1.02,1.43,119,3
15.1,1.02,1.43,126,4
15.1,1.02,1.43,137,10
15.1,1.02,1.43,143,2
15.1,1.02,1.43,162,6
15.1,1.02,1.43,164,1
15.1,1.02,1.43,173,5
15.1,1.02,1.43,196,8
15.1,1.02,1.43,211,9
15.2,46.28,4.11,77,3
15.2,46.28,4.11,79,7
15.2,46.28,4.11,87,4
15.2,46.28,4.11,91,10
15.2,46.28,4.11,94,2
15.2,46.28,4.11,110,1
15.2,46.28,4.11,111,6
15.2,46.28,4.11,117,5
15.2,46.28,4.11,136,8
15.2,46.28,4.11,145,9
15.3,20.44,0.41,97,7
15.3,20.44,0.41,114,4
15.3,20.44,0.41,118,3
15.3,20.44,0.41,129,2
15.3,20.44,0.41,131,10
15.3,20.44,0.41,153,6
15.3,20.44,0.41,160,1
15.3,20.44,0.41,164,5
15.3,20.44,0.41,179,8
15.3,20.44,0.41,191,9
15.3,26.98,3.66,83,7
15.3,26.98,3.66,89,3
15.3,26.98,3.66,99,4
15.3,26.98,3.66,108,10
15.3,26.98,3.66,111,2
15.3,26.98,3.66,122,6
15.3,26.98,3.66,126,1
15.3,26.98,3.66,138,5
15.3,26.98,3.66,156,8
15.3,26.98,3.66,166,9
15.3,35.69,4.84,74,7
15.3,35.69,4.84,80,3
15.3,35.69,4.84,87,4
15.3,35.69,4.84,92,10
15.3,35.69,4.84,104,2
15.3,35.69,4.84,113,6
15.3,35.69,4.84,115,1
15.3,35.69,4.84,127,5
15.3,35.69,4.84,142,9
15.3,35.69,4.84,143,8
15.4,16.26,1.29,106,3
15.4,16.26,1.29,106,7
15.4,16.26,1.29,119,4
15.4,16.26,1.29,132,10
15.4,16.26,1.29,135,2
15.4,16.26,1.29,149,6
15.4,16.26,1.29,154,1
15.4,16.26,1.29,158,5
15.4,16.26,1.29,184,8
15.4,16.26,1.29,189,9
15.5,2.91,3.95,96,7
15.5,2.91,3.95,102,3
15.5,2.91,3.95,113,4
15.5,2.91,3.95,116,10
15.5,2.91,3.95,123,2
15.5,2.91,3.95,139,6
15.5,2.91,3.95,143,1
15.5,2.91,3.95,149,5
15.5,2.91,3.95,173,8
15.5,2.91,3.95,185,9
15.5,56.88,4.21,70,7
15.5,56.88,4.21,76,4
15.5,56.88,4.21,80,3
15.5,56.88,4.21,90,10
15.5,56.88,4.21,91,2
15.5,56.88,4.21,97,6
15.5,56.88,4.21,106,5
15.5,56.88,4.21,110,1
15.5,56.88,4.21,122,8
15.5,56.88,4.21,137,9
15.6,38.19,4.91,76,7
15.6,38.19,4.91,80,3
15.6,38.19,4.91,86,4
15.6,38.19,4.91,97,10
15.6,38.19,4.91,102,2
15.6,38.19,4.91,110,6
15.6,38.19,4.91,113,1
15.6,38.19,4.91,118,5
15.6,38.19,4.91,135,8
15.6,38.19,4.91,142,9
15.7,35.92,2.54,88,7
15.7,35.92,2.54,98,4
15.7,35.92,2.54,99,3
15.7,35.92,2.54,109,2
15.7,35.92,2.54,112,10
15.7,35.92,2.54,126,6
15.7,35.92,2.54,132,1
15.7,35.92,2.54,141,5
15.7,35.92,2.54,150,8
15.7,35.92,2.54,162,9
15.9,43.36,3.69,75,7
15.9,43.36,3.69,80,3
15.9,43.36,3.69,87,4
15.9,43.36,3.69,93,10
15.9,43.36,3.69,97,2
15.9,43.36,3.69,117,1
15.9,43.36,3.69,119,6
15.9,43.36,3.69,127,5
15.9,43.36,3.69,143,8
15.9,43.36,3.69,146,9
15.9,47.45,2.27,78,7
15.9,47.45,2.27,86,3
15.9,47.45,2.27,87,4
15.9,47.45,2.27,100,2
15.9,47.45,2.27,105,10
15.9,47.45,2.27,118,6
15.9,47.45,2.27,125,1
15.9,47.45,2.27,128,5
15.9,47.45,2.27,142,8
15.9,47.45,2.27,154,9
16.1,52.02,4.67,74,3
16.1,52.02,4.67,75,7
16.1,52.02,4.67,85,4
16.1,52.02,4.67,85,10
16.1,52.02,4.67,88,2
16.1,52.02,4.67,100,6
16.1,52.02,4.67,108,1
16.1,52.02,4.67,109,5
16.1,52.02,4.67,128,8
16.1,52.02,4.67,129,9
16.2,6.42,0.04,118,7
16.2,6.42,0.04,123,3
16.2,6.42,0.04,130,4
16.2,6.42,0.04,146,10
16.2,6.42,0.04,150,2
16.2,6.42,0.04,163,6
16.2,6.42,0.04,174,1
16.2,6.42,0.04,175,5
16.2,6.42,0.04,205,8
16.2,6.42,0.04,220,9
16.2,43.36,1.05,86,7
16.2,43.36,1.05,98,3
16.2,43.36,1.05,100,4
16.2,43.36,1.05,109,10
16.2,43.36,1.05,110,2
16.2,43.36,1.05,127,6
16.2,43.36,1.05,133,1
16.2,43.36,1.05,141,5
16.2,43.36,1.05,153,8
16.2,43.36,1.05,170,9
16.3,4.31,4.85,97,3
16.3,4.31,4.85,97,7
16.3,4.31,4.85,106,4
16.3,4.31,4.85,116,10
16.3,4.31,4.85,121,2
16.3,4.31,4.85,136,6
16.3,4.31,4.85,142,5
16.3,4.31,4.85,144,1
16.3,4.31,4.85,165,8
16.3,4.31,4.85,181,9
16.3,33.86,2.16,89,7
16.3,33.86,2.16,92,3
16.3,33.86,2.16,97,4
16.3,33.86,2.16,112,2
16.3,33.86,2.16,116,10
16.3,33.86,2.16,127,6
16.3,33.86,2.16,136,1
16.3,33.86,2.16,139,5
16.3,33.86,2.16,160,8
16.3,33.86,2.16,167,9
16.5,6.16,4.05,91,7
16.5,6.16,4.05,104,3
16.5,6.16,4.05,108,4
16.5,6.16,4.05,117,10
16.5,6.16,4.05,123,2
16.5,6.16,4.05,142,6
16.5,6.16,4.05,145,1
16.5,6.16,4.05,150,5
16.5,6.16,4.05,176,8
16.5,6.16,4.05,183,9
16.5,18.34,0.51,99,7
16.5,18.34,0.51,111,3
16.5,18.34,0.51,119,4
16.5,18.34,0.51,129,10
16.5,18.34,0.51,131,2
16.5,18.34,0.51,151,6
16.5,18.34,0.51,155,1
16.5,18.34,0.51,162,5
16.5,18.34,0.51,184,8
16.5,18.34,0.51,198,9
16.5,33.18,2.97,83,7
16.5,33.18,2.97,94,3
16.5,33.18,2.97,100,4
16.5,33.18,2.97,106,2
16.5,33.18,2.97,113,10
16.5,33.18,2.97,123,6
16.5,33.18,2.97,132,1
16.5,33.18,2.97,137,5
16.5,33.18,2.97,151,8
16.5,33.18,2.97,166,9
16.5,44.81,1.48,83,7
16.5,44.81,1.48,98,3
16.5,44.81,1.48,99,4
16.5,44.81,1.48,107,10
16.5,44.81,1.48,109,2
16.5,44.81,1.48,122,6
16.5,44.81,1.48,131,5
16.5,44.81,1.48,132,1
16.5,44.81,1.48,155,8
16.5,44.81,1.48,166,9
16.8,15.1,3.45,91,7
16.8,15.1,3.45,103,4
16.8,15.1,3.45,107,3
16.8,15.1,3.45,115,2
16.8,15.1,3.45,120,10
16.8,15.1,3.45,139,6
16.8,15.1,3.45,144,5
16.8,15.1,3.45,146,1
16.8,15.1,3.45,170,8
16.8,15.1,3.45,178,9
16.8,19.5,3.58,95,3
16.8,19.5,3.58,95,7
16.8,19.5,3.58,106,4
16.8,19.5,3.58,114,10
16.8,19.5,3.58,117,2
16.8,19.5,3.58,137,6
16.8,19.5,3.58,139,1
16.8,19.5,3.58,148,5
16.8,19.5,3.58,161,8
16.8,19.5,3.58,169,9
16.9,43.78,2.18,83,7
16.9,43.78,2.18,90,4
16.9,43.78,2.18,96,3
16.9,43.78,2.18,103,10
16.9,43.78,2.18,113,2
16.9,43.78,2.18,128,1
16.9,43.78,2.18,128,5
16.9,43.78,2.18,128,6
16.9,43.78,2.18,146,8
16.9,43.78,2.18,162,9
17,12.51,4.26,93,7
17,12.51,4.26,96,3
17,12.51,4.26,109,4
17,12.51,4.26,119,2
17,12.51,4.26,119,10
17,12.51,4.26,136,1
17,12.51,4.26,138,6
17,12.51,4.26,143,5
17,12.51,4.26,159,8
17,12.51,4.26,179,9
17.1,29,2.77,88,7
17.1,29,2.77,93,3
17.1,29,2.77,105,4
17.1,29,2.77,117,10
17.1,29,2.77,119,2
17.1,29,2.77,132,6
17.1,29,2.77,134,1
17.1,29,2.77,137,5
17.1,29,2.77,158,8
17.1,29,2.77,172,9
17.1,38.01,3.83,84,7
17.1,38.01,3.83,88,3
17.1,38.01,3.83,95,4
17.1,38.01,3.83,98,10
17.1,38.01,3.83,100,2
17.1,38.01,3.83,117,6
17.1,38.01,3.83,121,1
17.1,38.01,3.83,129,5
17.1,38.01,3.83,146,8
17.1,38.01,3.83,157,9
17.1,46.74,1.55,89,3
17.1,46.74,1.55,89,7
17.1,46.74,1.55,94,4
17.1,46.74,1.55,107,2
17.1,46.74,1.55,110,10
17.1,46.74,1.55,130,6
17.1,46.74,1.55,132,1
17.1,46.74,1.55,139,5
17.1,46.74,1.55,153,8
17.1,46.74,1.55,157,9
17.2,6.52,1.85,105,7
17.2,6.52,1.85,117,4
17.2,6.52,1.85,121,3
17.2,6.52,1.85,134,10
17.2,6.52,1.85,136,2
17.2,6.52,1.85,158,1
17.2,6.52,1.85,161,6
17.2,6.52,1.85,166,5
17.2,6.52,1.85,187,8
17.2,6.52,1.85,206,9
17.3,14.79,2.98,94,7
17.3,14.79,2.98,108,3
17.3,14.79,2.98,112,4
17.3,14.79,2.98,117,10
17.3,14.79,2.98,124,2
17.3,14.79,2.98,144,6
17.3,14.79,2.98,152,1
17.3,14.79,2.98,158,5
17.3,14.79,2.98,169,8
17.3,14.79,2.98,180,9
17.3,39.89,1.35,93,3
17.3,39.89,1.35,93,7
17.3,39.89,1.35,105,4
17.3,39.89,1.35,113,10
17.3,39.89,1.35,116,2
17.3,39.89,1.35,135,1
17.3,39.89,1.35,135,6
17.3,39.89,1.35,142,5
17.3,39.89,1.35,161,8
17.3,39.89,1.35,167,9
17.4,57.66,2.71,71,7
17.4,57.66,2.71,83,4
17.4,57.66,2.71,86,3
17.4,57.66,2.71,93,2
17.4,57.66,2.71,97,10
17.4,57.66,2.71,110,1
17.4,57.66,2.71,114,6
17.4,57.66,2.71,117,5
17.4,57.66,2.71,129,8
17.4,57.66,2.71,147,9
17.5,2.06,4.6,96,7
17.5,2.06,4.6,105,3
17.5,2.06,4.6,108,4
17.5,2.06,4.6,122,2
17.5,2.06,4.6,124,10
17.5,2.06,4.6,139,6
17.5,2.06,4.6,146,1
17.5,2.06,4.6,151,5
17.5,2.06,4.6,173,8
17.5,2.06,4.6,183,9
17.6,16.48,2.73,92,7
17.6,16.48,2.73,101,3
17.6,16.48,2.73,111,4
17.6,16.48,2.73,119,2
17.6,16.48,2.73,122,10
17.6,16.48,2.73,144,1
17.6,16.48,2.73,146,6
17.6,16.48,2.73,149,5
17.6,16.48,2.73,169,8
17.6,16.48,2.73,182,9
17.6,41.54,3.95,83,3
17.6,41.54,3.95,83,7
17.6,41.54,3.95,85,4
17.6,41.54,3.95,104,10
17.6,41.54,3.95,106,2
17.6,41.54,3.95,115,6
17.6,41.54,3.95,121,1
17.6,41.54,3.95,128,5
17.6,41.54,3.95,141,8
17.6,41.54,3.95,155,9
17.6,57.73,2.73,77,3
17.6,57.73,2.73,80,7
17.6,57.73,2.73,82,4
17.6,57.73,2.73,91,10
17.6,57.73,2.73,95,2
17.6,57.73,2.73,113,1
17.6,57.73,2.73,115,5
17.6,57.73,2.73,116,6
17.6,57.73,2.73,130,8
17.6,57.73,2.73,138,9
17.7,19.13,1.07,104,7
17.7,19.13,1.07,113,3
17.7,19.13,1.07,120,4
17.7,19.13,1.07,127,2
17.7,19.13,1.07,131,10
17.7,19.13,1.07,149,6
17.7,19.13,1.07,156,1
17.7,19.13,1.07,159,5
17.7,19.13,1.07,183,8
17.7,19.13,1.07,195,9
17.7,30.88,0.37,99,7
17.7,30.88,0.37,110,4
17.7,30.88,0.37,112,3
17.7,30.88,0.37,128,2
17.7,30.88,0.37,128,10
17.7,30.88,0.37,141,6
17.7,30.88,0.37,146,1
17.7,30.88,0.37,159,5
17.7,30.88,0.37,180,8
17.7,30.88,0.37,185,9
17.8,25.82,1.64,96,7
17.8,25.82,1.64,105,3
17.8,25.82,1.64,112,4
17.8,25.82,1.64,117,10
17.8,25.82,1.64,120,2
17.8,25.82,1.64,146,6
17.8,25.82,1.64,150,1
17.8,25.82,1.64,152,5
17.8,25.82,1.64,176,8
17.8,25.82,1.64,179,9
17.8,44.7,0.74,86,7
17.8,44.7,0.74,97,3
17.8,44.7,0.74,104,4
17.8,44.7,0.74,109,10
17.8,44.7,0.74,119,2
17.8,44.7,0.74,129,6
17.8,44.7,0.74,139,1
17.8,44.7,0.74,146,5
17.8,44.7,0.74,160,8
17.8,44.7,0.74,169,9
17.9,32.29,4.76,80,7
17.9,32.29,4.76,85,3
17.9,32.29,4.76,86,4
17.9,32.29,4.76,99,10
17.9,32.29,4.76,100,2
17.9,32.29,4.76,118,1
17.9,32.29,4.76,123,6
17.9,32.29,4.76,131,5
17.9,32.29,4.76,145,8
17.9,32.29,4.76,151,9
18.1,41.26,4.08,78,7
18.1,41.26,4.08,85,3
18.1,41.26,4.08,95,4
18.1,41.26,4.08,99,2
18.1,41.26,4.08,104,10
18.1,41.26,4.08,117,1
18.1,41.26,4.08,120,6
18.1,41.26,4.08,124,5
18.1,41.26,4.08,140,8
18.1,41.26,4.08,148,9
18.2,41.29,0.27,93,7
18.2,41.29,0.27,101,4
18.2,41.29,0.27,106,3
18.2,41.29,0.27,115,2
18.2,41.29,0.27,122,10
18.2,41.29,0.27,143,6
18.2,41.29,0.27,144,5
18.2,41.29,0.27,146,1
18.2,41.29,0.27,171,8
18.2,41.29,0.27,180,9
18.3,44.29,0.24,88,7
18.3,44.29,0.24,99,4
18.3,44.29,0.24,105,3
18.3,44.29,0.24,117,2
18.3,44.29,0.24,118,10
18.3,44.29,0.24,132,6
18.3,44.29,0.24,137,1
18.3,44.29,0.24,143,5
18.3,44.29,0.24,160,8
18.3,44.29,0.24,170,9
18.4,3.7,2.83,101,7
18.4,3.7,2.83,114,3
18.4,3.7,2.83,123,4
18.4,3.7,2.83,126,10
18.4,3.7,2.83,129,2
18.4,3.7,2.83,148,6
18.4,3.7,2.83,153,1
18.4,3.7,2.83,160,5
18.4,3.7,2.83,182,8
18.4,3.7,2.83,195,9
18.6,23.45,3.23,96,3
18.6,23.45,3.23,96,7
18.6,23.45,3.23,101,4
18.6,23.45,3.23,111,10
18.6,23.45,3.23,117,2
18.6,23.45,3.23,136,1
18.6,23.45,3.23,137,6
18.6,23.45,3.23,142,5
18.6,23.45,3.23,160,8
18.6,23.45,3.23,180,9
18.7,28.53,0.3,102,7
18.7,28.53,0.3,114,3
18.7,28.53,0.3,116,4
18.7,28.53,0.3,129,2
18.7,28.53,0.3,131,10
18.7,28.53,0.3,151,1
18.7,28.53,0.3,153,6
18.7,28.53,0.3,163,5
18.7,28.53,0.3,186,8
18.7,28.53,0.3,197,9
18.7,29.82,2.28,94,7
18.7,29.82,2.28,98,3
18.7,29.82,2.28,107,4
18.7,29.82,2.28,116,10
18.7,29.82,2.28,117,2
18.7,29.82,2.28,134,6
18.7,29.82,2.28,142,1
18.7,29.82,2.28,142,5
18.7,29.82,2.28,167,8
18.7,29.82,2.28,171,9
18.7,42.79,1.97,89,7
18.7,42.79,1.97,90,3
18.7,42.79,1.97,100,4
18.7,42.79,1.97,111,10
18.7,42.79,1.97,114,2
18.7,42.79,1.97,132,6
18.7,42.79,1.97,136,5
18.7,42.79,1.97,137,1
18.7,42.79,1.97,155,8
18.7,42.79,1.97,166,9
18.7,58.91,0.08,82,7
18.7,58.91,0.08,90,3
18.7,58.91,0.08,90,4
18.7,58.91,0.08,100,10
18.7,58.91,0.08,112,2
18.7,58.91,0.08,121,6
18.7,58.91,0.08,127,1
18.7,58.91,0.08,138,5
18.7,58.91,0.08,152,8
